iter	Passed	Remaining
622	28098	17003
623	28142	16957
624	28195	16917
625	28242	16873
626	28284	16826
627	28322	16777
628	28368	16732
629	28413	16687
630	28462	16644
631	28512	16602
632	28559	16558
633	28608	16515
634	28658	16473
635	28696	16423
636	28733	16373
637	28784	16332
638	28829	16287
639	28867	16237
640	28930	16203
641	28970	16154
642	29015	16109
643	29053	16060
644	29091	16011
645	29128	15961
646	29174	15917
647	29213	15869
648	29253	15821
649	29304	15779
650	29342	15730
651	29392	15687
652	29430	15639
653	29472	15592
654	29510	15543
655	29556	15499
656	29610	15458
657	29655	15413
658	29715	15376
659	29765	15333
660	29810	15288
661	29860	15246
662	29905	15200
663	29947	15153
664	29988	15106
665	30029	15060
666	30071	15013
667	30115	14967
668	30157	14921
669	30201	14875
670	30250	14832
671	30305	14791
672	30352	14747
673	30409	14708
674	30449	14660
675	30490	14613
676	30538	14570
677	30582	14524
678	30624	14477
679	30669	14432
680	30720	14390
681	30761	14343
682	30810	14300
683	30851	14252
684	30894	14207
685	30945	14164
686	30994	14121
687	31035	14074
688	31086	14031
689	31127	13984
690	31166	13936
691	31205	13889
692	31247	13842
693	31290	13796
694	31326	13747
695	31370	13702
696	31413	13656
697	31476	13618
698	31527	13576
699	31569	13529
700	31617	13486
701	31676	13446
702	31730	13405
703	31790	13366
704	31835	13321
705	31877	13274
706	31929	13232
707	31971	13185
708	32021	13142
709	32081	13103
710	32126	13058
711	32168	13012
712	32213	12966
713	32258	12921
714	32301	12875
715	32354	12833
716	32397	12787
717	32445	12743
718	32498	12701
719	32537	12653
720	32579	12607
721	32625	12562
722	32665	12514
723	32703	12466
724	32739	12418
725	32787	12374
726	32844	12333
727	32890	12288
728	32935	12243
729	32994	12203
730	33047	12161
731	33092	12115
732	33135	12069
733	33202	12032
734	33282	11999
735	33351	11962
736	33420	11926
737	33480	11886
738	33537	11844
739	33595	11803
740	33653	11762
741	33701	11718
742	33749	11673
743	33812	11634
744	33862	11590
745	33901	11542
746	33947	11497
747	33994	11452
748	34043	11408
749	34085	11361
750	34154	11324
751	34199	11278
752	34264	11239
753	34307	11193
754	34346	11145
755	34387	11098
756	34427	11051
757	34493	11012
758	34564	10975
759	34623	10933
760	34682	10892
761	34737	10849
762	34776	10802
763	34815	10754
764	34863	10709
765	34919	10667
766	35007	10634
767	35072	10594
768	35119	10549
769	35162	10503
770	35220	10461
771	35289	10422
772	35338	10377
773	35394	10334
774	35435	10287
775	35494	10245
776	35556	10204
777	35605	10159
778	35664	10117
779	35731	10078
780	35795	10037
781	35848	9993
782	35906	9951
783	35996	9917
784	36058	9875
785	36120	9834
786	36170	9789
787	36231	9747
788	36292	9705
789	36349	9662
790	36414	9621
791	36466	9576
792	36511	9530
793	36565	9486
794	36625	9444
795	36719	9410
796	36840	9383
797	36903	9341
798	36962	9298
799	37026	9256
800	37096	9216
801	37163	9175
802	37227	9132
803	37286	9089
804	37365	9051
805	37431	9009
806	37489	8965
807	37556	8924
808	37672	8894
809	37734	8851
810	37810	8811
811	37867	8767
812	37928	8724
813	37998	8682
814	38076	8643
815	38127	8597
816	38177	8551
817	38237	8507
818	38300	8464
819	38370	8422
820	38431	8379
821	38482	8333
822	38541	8289
823	38592	8243
824	38644	8197
825	38688	8149
826	38739	8103
827	38814	8062
828	38881	8020
829	38978	7983
830	39038	7939
831	39102	7895
832	39166	7852
833	39230	7808
834	39309	7767
835	39404	7730
836	39479	7688
837	39535	7642
838	39585	7596
839	39647	7551
840	39699	7505
841	39749	7458
842	39793	7411
843	39833	7362
844	39874	7314
845	39930	7268
846	39975	7221
847	40032	7175
848	40080	7128
849	40130	7081
850	40171	7033
851	40219	6986
852	40275	6940
853	40319	6893
854	40365	6845
855	40443	6803
856	40498	6757
857	40541	6709
858	40587	6662
859	40663	6619
860	40725	6574
861	40780	6528
862	40841	6483
863	40911	6439
864	40982	6396
865	41065	6354
866	41116	6307
867	41177	6262
868	41222	6214
869	41268	6166
870	41324	6120
871	41364	6071
872	41414	6024
873	41453	5976
874	41495	5927
875	41555	5882
876	41596	5833
877	41643	5786
878	41698	5740
879	41742	5692
880	41783	5643
881	41837	5597
882	41883	5549
883	41932	5502
884	41976	5454
885	42042	5409
886	42088	5361
887	42137	5314
888	42187	5267
889	42244	5221
890	42291	5173
891	42344	5126
892	42398	5080
